InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
580816,21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,12,12/6/2011 11:28,0.39,15157,United Kingdom
556129,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS,48,6/9/2011 10:46,1.45,14060,United Kingdom
561614,85099B,JUMBO BAG RED RETROSPOT,10,7/28/2011 12:50,2.08,13871,United Kingdom
577358,23241,TREASURE TIN GYMKHANA DESIGN,3,11/18/2011 15:59,4.13,,United Kingdom
561515,15058B,PINK POLKADOT GARDEN PARASOL,1,7/27/2011 15:16,10.79,,United Kingdom
559506,22358,KINGS CHOICE TEA CADDY,1,7/8/2011 15:17,2.46,,United Kingdom
570646,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,6,10/11/2011 12:49,7.95,12824,United Kingdom
563038,84508A,CAMOUFLAGE DESIGN TEDDY,240,8/11/2011 15:05,2.1,16656,United Kingdom
580677,22887,NUMBER TILE VINTAGE FONT 8,1,12/5/2011 14:40,1.95,16200,United Kingdom
C574026,51014C,"FEATHER PEN,COAL BLACK",-1,11/2/2011 12:26,0.39,14606,United Kingdom
546778,47590A,BLUE HAPPY BIRTHDAY BUNTING,1,3/16/2011 16:38,5.45,14572,United Kingdom
560145,23014,GLASS APOTHECARY BOTTLE ELIXIR,4,7/15/2011 11:04,3.95,13381,United Kingdom
538149,21192,WHITE BELL HONEYCOMB PAPER,2,12/9/2010 16:27,3.36,,United Kingdom
557016,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,2,6/16/2011 12:29,2.89,16942,United Kingdom
552255,21212,PACK OF 72 RETROSPOT CAKE CASES,24,5/8/2011 10:33,0.55,14005,United Kingdom
578027,22626,BLACK KITCHEN SCALES,2,11/22/2011 13:29,8.5,15977,United Kingdom
555925,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2,6/7/2011 17:13,4.13,,United Kingdom
573023,85032B,BLOSSOM IMAGES GIFT WRAP SET,12,10/27/2011 12:53,0.65,13882,United Kingdom
545895,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",2,3/7/2011 17:14,1.63,,United Kingdom
541421,85131D,BEADED CRYSTAL HEART PINK ON STICK,10,1/17/2011 17:44,0.83,,United Kingdom
541509,22212,FOUR HOOK  WHITE LOVEBIRDS,1,1/18/2011 16:31,2.1,13263,United Kingdom
546421,84596F,SMALL MARSHMALLOWS PINK BOWL,16,3/13/2011 11:21,0.42,13700,United Kingdom
552039,22644,CERAMIC CHERRY CAKE MONEY BANK,12,5/6/2011 8:10,1.45,13081,United Kingdom
547772,22417,PACK OF 60 SPACEBOY CAKE CASES,1,3/25/2011 11:34,0.55,17979,United Kingdom
559132,20981,12 PENCILS TALL TUBE WOODLAND,6,7/6/2011 13:06,0.85,15053,United Kingdom
569214,16219,HOUSE SHAPE PENCIL SHARPENER,288,10/2/2011 12:22,0.06,14533,United Kingdom
544599,21775,DECORATIVE FLORE BATHROOM BOTTLE,1,2/21/2011 18:15,2.46,,United Kingdom
579196,20728,LUNCH BAG CARS BLUE,1,11/28/2011 15:54,4.13,14096,United Kingdom
557430,47566,PARTY BUNTING,100,6/20/2011 12:27,3.75,16013,United Kingdom
536763,21801,CHRISTMAS TREE DECORATION WITH BELL,36,12/2/2010 14:42,0.42,17685,United Kingdom
581217,22643,SET OF 4 NAPKIN CHARMS LEAVES,2,12/8/2011 9:20,4.96,,United Kingdom
547886,22621,TRADITIONAL KNITTING NANCY,12,3/28/2011 9:21,1.45,13652,United Kingdom
571713,21902,"KEY FOB , FRONT  DOOR ",1,10/18/2011 16:58,1.63,,United Kingdom
545340,22854,CREAM SWEETHEART EGG HOLDER,4,3/2/2011 8:41,4.95,15416,United Kingdom
580115,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,1,12/1/2011 16:22,8.29,,United Kingdom
576590,22187,GREEN CHRISTMAS TREE CARD HOLDER,12,11/15/2011 14:30,1.95,16240,United Kingdom
552670,85049d,BRIGHT BLUES RIBBONS,1,5/10/2011 15:06,2.46,,United Kingdom
566281,84950,ASSORTED COLOUR T-LIGHT HOLDER,12,9/11/2011 14:15,0.65,12748,United Kingdom
576840,21544,SKULLS  WATER TRANSFER TATTOOS,4,11/16/2011 15:23,1.63,,United Kingdom
580094,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,12/1/2011 14:50,2.95,15904,United Kingdom
540849,21756,BATH BUILDING BLOCK WORD,3,1/12/2011 9:33,5.95,14270,United Kingdom
581217,23285,PINK VINTAGE SPOT BEAKER,2,12/8/2011 9:20,1.63,,United Kingdom
568719,90214H,"LETTER ""H"" BLING KEY RING",1,9/28/2011 16:19,0.83,,United Kingdom
540692,21175,GIN + TONIC DIET METAL SIGN,12,1/11/2011 9:12,2.1,14320,United Kingdom
542607,22881,NUMBER TILE VINTAGE FONT 2,1,1/30/2011 13:48,1.95,13148,United Kingdom
576617,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,4,11/15/2011 16:57,4.96,,United Kingdom
547240,22488,NATURAL SLATE RECTANGLE CHALKBOARD,2,3/21/2011 16:32,1.65,17585,United Kingdom
571508,23295,SET OF 12 MINI LOAF BAKING CASES,3,10/17/2011 15:27,0.83,,United Kingdom
555851,21165,BEWARE OF THE CAT METAL SIGN,2,6/7/2011 13:37,1.69,13050,United Kingdom
575983,22094,RED RETROSPOT TISSUE BOX,1,11/13/2011 13:45,0.39,13379,United Kingdom
541489,22113,GREY HEART HOT WATER BOTTLE,2,1/18/2011 13:38,3.75,15023,United Kingdom
539324,22536,MAGIC DRAWING SLATE PURDEY,2,12/16/2010 19:51,0.42,14985,United Kingdom
581405,22111,SCOTTIE DOG HOT WATER BOTTLE,1,12/8/2011 13:50,4.95,13521,United Kingdom
542667,21034,REX CASH+CARRY JUMBO SHOPPER,3,1/31/2011 12:16,0.95,17068,United Kingdom
575039,82581,TOILET METAL SIGN,6,11/8/2011 11:53,0.55,15005,United Kingdom
568491,23129,HEART SHAPED HOLLY WREATH,6,9/27/2011 11:58,4.15,15443,United Kingdom
572677,22979,PANTRY WASHING UP BRUSH,1,10/25/2011 13:46,1.45,17596,United Kingdom
572319,22733,3D TRADITIONAL CHRISTMAS STICKERS,3,10/23/2011 16:19,1.25,14704,United Kingdom
556428,22386,JUMBO BAG PINK POLKADOT,5,6/10/2011 13:23,4.13,,United Kingdom
572732,21504,SKULLS GREETING CARD,24,10/25/2011 15:21,0.42,18079,United Kingdom
548616,22561,WOODEN SCHOOL COLOURING SET,12,4/1/2011 11:48,1.65,18263,United Kingdom
569692,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,10/5/2011 15:17,0.65,14389,United Kingdom
C572226,23256,CHILDRENS CUTLERY SPACEBOY,-2,10/21/2011 13:58,4.15,15321,United Kingdom
575938,21248,DOOR HANGER  MUM + DADS ROOM,3,11/13/2011 11:30,1.45,17790,United Kingdom
577297,23215,JINGLE BELL HEART ANTIQUE SILVER,1,11/18/2011 12:48,2.08,14593,United Kingdom
538488,21355,TOAST ITS - I LOVE YOU,6,12/12/2010 12:41,1.25,13715,United Kingdom
537629,21889,WOODEN BOX OF DOMINOES,12,12/7/2010 15:03,1.25,17419,United Kingdom
563572,21992,VINTAGE PAISLEY STATIONERY SET,3,8/17/2011 15:00,1.25,16734,United Kingdom
537441,22867,HAND WARMER BIRD DESIGN,3,12/6/2010 17:26,2.1,13564,United Kingdom
578954,23320,GIANT 50'S CHRISTMAS CRACKER,2,11/27/2011 15:02,2.89,15054,United Kingdom
550035,15058C,ICE CREAM DESIGN GARDEN PARASOL,2,4/14/2011 11:48,7.95,15039,United Kingdom
571257,21992,VINTAGE PAISLEY STATIONERY SET,1,10/14/2011 17:17,2.46,,United Kingdom
543166,22852,DOG BOWL VINTAGE CREAM,4,2/4/2011 8:27,4.25,13488,United Kingdom
539297,21485,RETROSPOT HEART HOT WATER BOTTLE,3,12/16/2010 17:20,4.95,17691,United Kingdom
575477,23084,RABBIT NIGHT LIGHT,19,11/9/2011 16:14,4.13,,United Kingdom
539735,18098c,PORCELAIN BUTTERFLY OIL BURNER,2,12/21/2010 15:17,5.06,,United Kingdom
576889,85199S,SMALL HANGING IVORY/RED WOOD BIRD,2,11/16/2011 17:24,0.42,12748,United Kingdom
563555,22207,FRYING PAN UNION FLAG,1,8/17/2011 13:21,4.25,16755,United Kingdom
562717,21194,PINK  HONEYCOMB PAPER FAN,3,8/8/2011 15:42,4.13,,United Kingdom
545333,21936,RED RETROSPOT PICNIC BAG,1,3/1/2011 16:22,5.79,,United Kingdom
578365,21843,RED RETROSPOT CAKE STAND,72,11/24/2011 10:46,4,15482,United Kingdom
573915,85025B,EAU DE NILE HEART SHAPE PHOTO FRAME,1,11/1/2011 15:55,1.65,15511,United Kingdom
560089,22611,VINTAGE UNION JACK SHOPPING BAG,1,7/14/2011 16:45,4.95,12748,United Kingdom
572688,22356,CHARLOTTE BAG PINK POLKADOT,10,10/25/2011 14:09,0.85,13028,United Kingdom
566871,23420,PANTRY HOOK TEA STRAINER,12,9/15/2011 13:27,2.08,17047,United Kingdom
578519,20727,LUNCH BAG  BLACK SKULL.,1,11/24/2011 13:56,1.65,14591,United Kingdom
541830,22534,MAGIC DRAWING SLATE SPACEBOY,6,1/21/2011 17:09,0.83,,United Kingdom
547496,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,3/23/2011 12:13,0.85,18075,United Kingdom
547909,22403,MAGNETS PACK OF 4 VINTAGE LABELS,1,3/28/2011 12:22,1.25,15033,United Kingdom
543306,22433,WATERING CAN GREEN DINOSAUR,1,2/7/2011 11:56,1.95,16686,United Kingdom
578666,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,11/24/2011 17:06,2.1,17727,United Kingdom
567665,35810A,ENAMEL PINK COFFEE CONTAINER,1,9/21/2011 15:22,2.46,,United Kingdom
569836,23206,LUNCH BAG APPLE DESIGN,20,10/6/2011 13:06,1.65,12910,United Kingdom
556413,22382,LUNCH BAG SPACEBOY DESIGN,1,6/10/2011 12:01,1.65,16005,United Kingdom
C567440,22424,ENAMEL BREAD BIN CREAM,-1,9/20/2011 11:58,12.75,17841,United Kingdom
559024,22583,PACK OF 6 HANDBAG GIFT BOXES,6,7/5/2011 13:38,2.55,16616,United Kingdom
548484,21926,RED/CREAM STRIPE CUSHION COVER,2,3/31/2011 12:43,1.25,13571,United Kingdom
564336,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,4,8/24/2011 14:28,0.39,12748,United Kingdom
576372,23356,LOVE HOT WATER BOTTLE,12,11/15/2011 8:32,5.95,15144,United Kingdom
560448,22294,HEART FILIGREE DOVE  SMALL,24,7/19/2011 9:29,1.25,12840,United Kingdom
559914,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,1,7/13/2011 15:13,7.46,,United Kingdom
552514,21397,BLUE POLKADOT EGG CUP,6,5/9/2011 16:30,1.63,,United Kingdom
577358,22074,6 RIBBONS SHIMMERING PINKS,4,11/18/2011 15:59,1.25,,United Kingdom
560271,21581,SKULLS  DESIGN  COTTON TOTE BAG,13,7/17/2011 14:51,2.25,16474,United Kingdom
563071,23199,JUMBO BAG APPLES,10,8/11/2011 15:43,2.08,17633,United Kingdom
542381,21754,HOME BUILDING BLOCK WORD,3,1/27/2011 14:07,5.95,17213,United Kingdom
541104,37500,TEA TIME TEAPOT IN GIFT BOX,1,1/13/2011 14:29,20.79,,United Kingdom
576070,23300,GARDENERS KNEELING PAD CUP OF TEA,4,11/13/2011 15:58,1.65,13451,United Kingdom
556067,21189,WHITE HONEYCOMB PAPER GARLAND,8,6/8/2011 14:35,1.65,12748,United Kingdom
560433,84568,GIRLS ALPHABET IRON ON PATCHES,6,7/18/2011 15:49,0.42,,United Kingdom
575846,22818,CARD CHRISTMAS VILLAGE,36,11/11/2011 12:07,0.42,17364,United Kingdom
581236,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,12/8/2011 10:39,2.95,13468,United Kingdom
566489,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,9/13/2011 10:17,1.25,16814,United Kingdom
575856,21034,REX CASH+CARRY JUMBO SHOPPER,2,11/11/2011 12:28,0.95,16386,United Kingdom
577723,21165,BEWARE OF THE CAT METAL SIGN,2,11/21/2011 12:36,1.69,16713,United Kingdom
575318,20668,DISCO BALL CHRISTMAS DECORATION,24,11/9/2011 13:17,0.12,14921,United Kingdom
549906,21260,FIRST AID TIN,1,4/12/2011 16:28,3.25,14998,United Kingdom
560271,18094C,WHITE AND BLUE CERAMIC OIL BURNER,2,7/17/2011 14:51,1.25,16474,United Kingdom
565407,21222,SET/4 BADGES BEETLES,2,9/4/2011 11:00,1.25,16983,United Kingdom
550532,21713,CITRONELLA CANDLE FLOWERPOT,1,4/19/2011 11:02,2.1,14606,United Kingdom
538177,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,2,12/10/2010 9:51,1.66,,United Kingdom
542227,21212,PACK OF 72 RETROSPOT CAKE CASES,24,1/26/2011 13:33,0.55,14243,United Kingdom
556108,35916B,BLUE FELT HANGING HEART WITH FLOWER,2,6/8/2011 17:59,0.63,,United Kingdom
552724,22029,SPACEBOY BIRTHDAY CARD,12,5/11/2011 10:29,0.42,13418,United Kingdom
575607,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,3,11/10/2011 12:37,6.63,14096,United Kingdom
